Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
cw-s1w1-groupplay-match-1,1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Stage 1 Week 1,2/11/21,1,3,Los Angeles Thieves,https://youtu.be/MOJL3t9lufQ?t=1
cw-s1w1-groupplay-match-2,2,106.0,Seattle Surge,105.0,Dallas Empire,Stage 1 Week 1,2/11/21,0,3,Dallas Empire,https://youtu.be/WgTjc8Mnl0g?t=1
cw-s1w1-groupplay-match-3,3,113.0,Paris Legion,117.0,OpTic Chicago,Stage 1 Week 1,2/12/21,0,3,OpTic Chicago,https://youtu.be/ZL4ySDQjrl4?t=1
cw-s1w1-groupplay-match-4,4,108.0,Los Angeles Guerrillas,115.0,Atlanta FaZe,Stage 1 Week 1,2/12/21,0,3,Atlanta FaZe,https://youtu.be/D6Vj8kwvY8Q?t=1
cw-s1w1-groupplay-match-5,5,113.0,Paris Legion,108.0,Los Angeles Guerrillas,Stage 1 Week 1,2/13/21,2,3,Los Angeles Guerrillas,https://youtu.be/vh7kFgrrIHc?t=1
cw-s1w1-groupplay-match-6,6,112.0,Toronto Ultra,107.0,Florida Mutineers,Stage 1 Week 1,2/13/21,3,1,Toronto Ultra,https://youtu.be/6nrr8gWcgQU?t=1
cw-s1w1-groupplay-match-7,7,110.0,New York Subliners,116.0,Los Angeles Thieves,Stage 1 Week 1,2/13/21,0,3,Los Angeles Thieves,https://youtu.be/2seJ8hw2W48?t=1
cw-s1w1-groupplay-match-8,8,106.0,Seattle Surge,111.0,London Royal Ravens,Stage 1 Week 1,2/14/21,3,2,Seattle Surge,https://youtu.be/zqo4-l25Qcc?t=1
cw-s1w1-groupplay-match-9,9,109.0,Minnesota RØKKR,105.0,Dallas Empire,Stage 1 Week 1,2/14/21,3,2,Minnesota RØKKR,https://youtu.be/oTxIBSsflQ0?t=1
cw-s1w1-groupplay-match-10,10,117.0,OpTic Chicago,115.0,Atlanta FaZe,Stage 1 Week 1,2/14/21,2,3,Atlanta FaZe,https://youtu.be/gWnckFjeIlc?t=1
cw-superweek-groupplay-match-1,11,108.0,Los Angeles Guerrillas,107.0,Florida Mutineers,Super Week,2/22/21,1,3,Florida Mutineers,https://youtu.be/5xXKtppxqZ0?t=1
cw-superweek-groupplay-match-2,12,112.0,Toronto Ultra,115.0,Atlanta FaZe,Super Week,2/22/21,1,3,Atlanta FaZe,https://youtu.be/ApM3PbaOzFA?t=1
cw-superweek-groupplay-match-3,13,113.0,Paris Legion,107.0,Florida Mutineers,Super Week,2/23/21,3,0,Paris Legion,https://youtu.be/7p835_EQCR4?t=1
cw-superweek-groupplay-match-4,14,110.0,New York Subliners,111.0,London Royal Ravens,Super Week,2/23/21,3,0,New York Subliners,https://youtu.be/cp-ygBBiMtE?t=2
cw-superweek-groupplay-match-5,15,106.0,Seattle Surge,109.0,Minnesota RØKKR,Super Week,2/23/21,0,3,Minnesota RØKKR,https://youtu.be/ETdDoG6ErRk?t=1
cw-superweek-groupplay-match-6,16,111.0,London Royal Ravens,105.0,Dallas Empire,Super Week,2/24/21,2,3,Dallas Empire,https://youtu.be/qBtZutICJ6E?t=1
cw-superweek-groupplay-match-7,17,106.0,Seattle Surge,116.0,Los Angeles Thieves,Super Week,2/24/21,2,3,Los Angeles Thieves,https://youtu.be/oTjvvY09Wvc?t=1
cw-superweek-groupplay-match-8,18,112.0,Toronto Ultra,117.0,OpTic Chicago,Super Week,2/24/21,1,3,OpTic Chicago,https://youtu.be/zMY98eV8R4M?t=1
cw-superweek-groupplay-match-9,19,110.0,New York Subliners,109.0,Minnesota RØKKR,Super Week,2/25/21,3,0,New York Subliners,https://youtu.be/wozOoRzSCT8?t=1
cw-superweek-groupplay-match-10,20,108.0,Los Angeles Guerrillas,117.0,OpTic Chicago,Super Week,2/25/21,1,3,OpTic Chicago,https://youtu.be/durOg_h8Y74?t=1
cw-superweek-groupplay-match-11,21,107.0,Florida Mutineers,115.0,Atlanta FaZe,Super Week,2/25/21,1,3,Atlanta FaZe,https://youtu.be/aPQy5_GsMrQ?t=1
cw-superweek-groupplay-match-12,22,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Super Week,2/26/21,1,3,Los Angeles Thieves,https://youtu.be/9C6Riw5aH5Q?t=1
cw-superweek-groupplay-match-13,23,113.0,Paris Legion,112.0,Toronto Ultra,Super Week,2/26/21,3,2,Paris Legion,https://youtu.be/-4ZzA0gvCu0?t=1
cw-superweek-groupplay-match-14,24,110.0,New York Subliners,105.0,Dallas Empire,Super Week,2/26/21,2,3,Dallas Empire,https://youtu.be/Qx06squmROY?t=1
cw-superweek-groupplay-match-15,25,113.0,Paris Legion,115.0,Atlanta FaZe,Super Week,2/27/21,2,3,Atlanta FaZe,https://youtu.be/acumTWEe3Uo?t=1
cw-superweek-groupplay-match-16,26,111.0,London Royal Ravens,109.0,Minnesota RØKKR,Super Week,2/27/21,0,3,Minnesota RØKKR,https://youtu.be/fhh_n380YXs?t=1
cw-superweek-groupplay-match-17,27,108.0,Los Angeles Guerrillas,112.0,Toronto Ultra,Super Week,2/27/21,3,2,Los Angeles Guerrillas,https://youtu.be/cIcxxKiR3q4?t=1
cw-superweek-groupplay-match-18,28,106.0,Seattle Surge,110.0,New York Subliners,Super Week,2/28/21,1,3,New York Subliners,https://youtu.be/RV56WQ05uR8?t=1
cw-superweek-groupplay-match-19,29,107.0,Florida Mutineers,117.0,OpTic Chicago,Super Week,2/28/21,1,3,OpTic Chicago,https://youtu.be/gR8nmIGQCjg?t=1
cw-superweek-groupplay-match-20,30,116.0,Los Angeles Thieves,105.0,Dallas Empire,Super Week,2/28/21,0,3,Dallas Empire,https://youtu.be/Q22Rz4UyNI8?t=1
cw-major1-losers1-match-1,31,111.0,London Royal Ravens,112.0,Toronto Ultra,Major 1,3/3/21,2,3,Toronto Ultra,https://youtu.be/toJhDmvhPGQ?t=1
cw-major1-losers1-match-2,32,107.0,Florida Mutineers,106.0,Seattle Surge,Major 1,3/3/21,3,1,Florida Mutineers,https://youtu.be/br7uI7oWuN4?t=1
cw-major1-winners1-match-1,33,108.0,Los Angeles Guerrillas,116.0,Los Angeles Thieves,Major 1,3/4/21,3,0,Los Angeles Guerrillas,https://youtu.be/VUkIKgv0ltA?t=1
cw-major1-winners1-match-2,34,110.0,New York Subliners,117.0,OpTic Chicago,Major 1,3/4/21,0,3,OpTic Chicago,https://youtu.be/f6mCTrifiWU?t=1
cw-major1-losers2-match-1,35,107.0,Florida Mutineers,113.0,Paris Legion,Major 1,3/4/21,3,1,Florida Mutineers,https://youtu.be/M8V6AbVCwTE?t=1
cw-major1-losers2-match-2,36,112.0,Toronto Ultra,109.0,Minnesota RØKKR,Major 1,3/4/21,3,2,Toronto Ultra,https://youtu.be/nswk3oH6sfY?t=1
cw-major1-winners2-match-1,37,108.0,Los Angeles Guerrillas,115.0,Atlanta FaZe,Major 1,3/5/21,0,3,Atlanta FaZe,https://youtu.be/pPhDSJWY-Dw?t=1
cw-major1-winners2-match-2,38,117.0,OpTic Chicago,105.0,Dallas Empire,Major 1,3/5/21,2,3,Dallas Empire,https://youtu.be/4nTuMG0eIxk?t=1
cw-major1-losers3-match-1,39,107.0,Florida Mutineers,110.0,New York Subliners,Major 1,3/5/21,2,3,New York Subliners,https://youtu.be/k7ddxV5iGtA?t=1
cw-major1-losers3-match-2,40,112.0,Toronto Ultra,116.0,Los Angeles Thieves,Major 1,3/5/21,0,3,Los Angeles Thieves,https://youtu.be/A0NWue-n8-g?t=1
cw-major1-losers4-match-1,41,110.0,New York Subliners,108.0,Los Angeles Guerrillas,Major 1,3/6/21,3,1,New York Subliners,https://youtu.be/xud9ve25rYM?t=1
cw-major1-losers4-match-2,42,116.0,Los Angeles Thieves,117.0,OpTic Chicago,Major 1,3/6/21,1,3,OpTic Chicago,https://youtu.be/JPZ6zpU2p8I?t=1
cw-major1-losers5-match-1,43,117.0,OpTic Chicago,110.0,New York Subliners,Major 1,3/6/21,0,3,New York Subliners,https://youtu.be/wqjy9eREVhQ?t=1
cw-major1-winnersfinals-match-1,44,115.0,Atlanta FaZe,105.0,Dallas Empire,Major 1,3/7/21,3,0,Atlanta FaZe,https://youtu.be/XQ3FVqDWgE0?t=1
cw-major1-losersfinals-match-1,45,110.0,New York Subliners,105.0,Dallas Empire,Major 1,3/7/21,0,3,Dallas Empire,https://youtu.be/rc89biX2DkI?t=1
cw-major1-grandfinals-match-1,46,105.0,Dallas Empire,115.0,Atlanta FaZe,Major 1,3/7/21,2,5,Atlanta FaZe,https://youtu.be/OkW_emHf5RU?t=1
cw-s2w1-groupplay-match-1,47,110.0,New York Subliners,115.0,Atlanta FaZe,Stage 2 Week 1,3/18/21,1,3,Atlanta FaZe,https://youtu.be/yxlT-jZSX6E?t=1
cw-s2w1-groupplay-match-2,48,106.0,Seattle Surge,107.0,Florida Mutineers,Stage 2 Week 1,3/18/21,3,1,Seattle Surge,https://youtu.be/js3nT7pqZxs?t=1
cw-s2w1-groupplay-match-3,49,112.0,Toronto Ultra,116.0,Los Angeles Thieves,Stage 2 Week 1,3/19/21,2,3,Los Angeles Thieves,https://youtu.be/Cjn4zVgrAno?t=1
cw-s2w1-groupplay-match-4,50,109.0,Minnesota RØKKR,113.0,Paris Legion,Stage 2 Week 1,3/19/21,0,3,Paris Legion,https://youtu.be/9c9SH71wCN4?t=1
cw-s2w1-groupplay-match-5,51,113.0,Paris Legion,117.0,OpTic Chicago,Stage 2 Week 1,3/20/21,1,3,OpTic Chicago,https://youtu.be/ka-lUY-C4jM?t=1
cw-s2w1-groupplay-match-6,52,109.0,Minnesota RØKKR,107.0,Florida Mutineers,Stage 2 Week 1,3/20/21,0,3,Florida Mutineers,https://youtu.be/GDgb1XT0-ok?t=1
cw-s2w1-groupplay-match-7,53,106.0,Seattle Surge,105.0,Dallas Empire,Stage 2 Week 1,3/20/21,2,3,Dallas Empire,https://youtu.be/-Wd7Yt2_M_I?t=1
cw-s2w1-groupplay-match-8,54,111.0,London Royal Ravens,108.0,Los Angeles Guerrillas,Stage 2 Week 1,3/21/21,3,0,London Royal Ravens,https://youtu.be/Vn0bTvX4TFU?t=1
cw-s2w1-groupplay-match-9,55,112.0,Toronto Ultra,115.0,Atlanta FaZe,Stage 2 Week 1,3/21/21,0,3,Atlanta FaZe,https://youtu.be/I7k2UekgJ-0?t=1
cw-s2w1-groupplay-match-10,56,110.0,New York Subliners,116.0,Los Angeles Thieves,Stage 2 Week 1,3/21/21,3,2,New York Subliners,https://youtu.be/GZA1WjjH2Zg?t=1
cw-s2w2-groupplay-match-1,57,113.0,Paris Legion,105.0,Dallas Empire,Stage 2 Week 2,3/25/21,1,3,Dallas Empire,https://youtu.be/WqtSLqvQcyY?t=1
cw-s2w2-groupplay-match-2,58,109.0,Minnesota RØKKR,117.0,OpTic Chicago,Stage 2 Week 2,3/25/21,3,0,Minnesota RØKKR,https://youtu.be/k2CLweEppuE?t=1
cw-s2w2-groupplay-match-3,59,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Stage 2 Week 2,3/26/21,3,1,London Royal Ravens,https://youtu.be/_mEV-lOAgdU?t=1
cw-s2w2-groupplay-match-4,60,108.0,Los Angeles Guerrillas,110.0,New York Subliners,Stage 2 Week 2,3/26/21,1,3,New York Subliners,https://youtu.be/3pZyhFxZBA8?t=1
cw-s2w2-groupplay-match-5,61,111.0,London Royal Ravens,110.0,New York Subliners,Stage 2 Week 2,3/27/21,1,3,New York Subliners,https://youtu.be/ksUrn5L7twM?t=1
cw-s2w2-groupplay-match-6,62,116.0,Los Angeles Thieves,115.0,Atlanta FaZe,Stage 2 Week 2,3/27/21,0,3,Atlanta FaZe,https://youtu.be/joK6e0ez_CE?t=1
cw-s2w2-groupplay-match-7,63,108.0,Los Angeles Guerrillas,112.0,Toronto Ultra,Stage 2 Week 2,3/27/21,2,3,Toronto Ultra,https://youtu.be/aOICTF3SK1E?t=1
cw-s2w2-groupplay-match-8,64,106.0,Seattle Surge,113.0,Paris Legion,Stage 2 Week 2,3/28/21,3,0,Seattle Surge,https://youtu.be/F1_GEZj-U4E?t=1
cw-s2w2-groupplay-match-9,65,109.0,Minnesota RØKKR,105.0,Dallas Empire,Stage 2 Week 2,3/28/21,3,2,Minnesota RØKKR,https://youtu.be/krbOYhcjVZU?t=1
cw-s2w2-groupplay-match-10,66,107.0,Florida Mutineers,117.0,OpTic Chicago,Stage 2 Week 2,3/28/21,3,0,Florida Mutineers,https://youtu.be/Kpbx-1j3OAg?t=1
cw-s2w3-groupplay-match-1,67,107.0,Florida Mutineers,105.0,Dallas Empire,Stage 2 Week 3,4/1/21,0,3,Dallas Empire,https://youtu.be/rF4JPRQ3C7Q?t=1
cw-s2w3-groupplay-match-2,68,106.0,Seattle Surge,117.0,OpTic Chicago,Stage 2 Week 3,4/1/21,0,3,OpTic Chicago,https://youtu.be/RbYt6eapC5c?t=1
cw-s2w3-groupplay-match-3,69,111.0,London Royal Ravens,112.0,Toronto Ultra,Stage 2 Week 3,4/2/21,0,3,Toronto Ultra,https://youtu.be/VqOoBQs50YE?t=1
cw-s2w3-groupplay-match-4,70,108.0,Los Angeles Guerrillas,115.0,Atlanta FaZe,Stage 2 Week 3,4/2/21,3,2,Los Angeles Guerrillas,https://youtu.be/cryc9UQtIys?t=1
cw-s2w3-groupplay-match-5,71,113.0,Paris Legion,107.0,Florida Mutineers,Stage 2 Week 3,4/3/21,3,1,Paris Legion,https://youtu.be/r6iQj91pv5Y?t=1
cw-s2w3-groupplay-match-6,72,106.0,Seattle Surge,109.0,Minnesota RØKKR,Stage 2 Week 3,4/3/21,2,3,Minnesota RØKKR,https://youtu.be/zg8g6rPsjok?t=1
cw-s2w3-groupplay-match-7,73,112.0,Toronto Ultra,110.0,New York Subliners,Stage 2 Week 3,4/3/21,1,3,New York Subliners,https://youtu.be/ScMb8KzxK20?t=1
cw-s2w3-groupplay-match-8,74,111.0,London Royal Ravens,115.0,Atlanta FaZe,Stage 2 Week 3,4/4/21,0,3,Atlanta FaZe,https://youtu.be/Mky9daj1bMY?t=1
cw-s2w3-groupplay-match-9,75,108.0,Los Angeles Guerrillas,116.0,Los Angeles Thieves,Stage 2 Week 3,4/4/21,3,0,Los Angeles Guerrillas,https://youtu.be/Bwl_kg5MIiM?t=1
cw-s2w3-groupplay-match-10,76,117.0,OpTic Chicago,105.0,Dallas Empire,Stage 2 Week 3,4/4/21,3,2,OpTic Chicago,https://youtu.be/Ciwsgykgmdw?t=1
cw-major2-losers1-match-1,77,116.0,Los Angeles Thieves,113.0,Paris Legion,Major 2,4/7/21,3,0,Los Angeles Thieves,https://youtu.be/Jm8xBObvItE?t=1
cw-major2-losers1-match-2,78,107.0,Florida Mutineers,108.0,Los Angeles Guerrillas,Major 2,4/7/21,3,0,Florida Mutineers,https://youtu.be/z6s_Y1BL144?t=1
cw-major2-winners1-match-1,79,105.0,Dallas Empire,110.0,New York Subliners,Major 2,4/8/21,3,0,Dallas Empire,https://youtu.be/SryXsgY5ChA?t=1
cw-major2-winners1-match-2,80,112.0,Toronto Ultra,117.0,OpTic Chicago,Major 2,4/8/21,3,1,Toronto Ultra,https://youtu.be/9HhRT6JUyMI?t=1
cw-major2-losers2-match-1,81,116.0,Los Angeles Thieves,111.0,London Royal Ravens,Major 2,4/8/21,3,2,Los Angeles Thieves,https://youtu.be/q-Y_Wkvc9UM?t=1
cw-major2-losers2-match-2,82,107.0,Florida Mutineers,106.0,Seattle Surge,Major 2,4/8/21,1,3,Seattle Surge,https://youtu.be/n3dXoi6NmEg?t=1
cw-major2-winners2-match-1,83,105.0,Dallas Empire,109.0,Minnesota RØKKR,Major 2,4/9/21,3,2,Dallas Empire,https://youtu.be/jbK9_i_NP40?t=1
cw-major2-winners2-match-2,84,112.0,Toronto Ultra,115.0,Atlanta FaZe,Major 2,4/9/21,1,3,Atlanta FaZe,https://youtu.be/0d6aUrW8N94?t=1
cw-major2-losers3-match-1,85,106.0,Seattle Surge,117.0,OpTic Chicago,Major 2,4/9/21,1,3,OpTic Chicago,https://youtu.be/nk8fuYzGGlI?t=1
cw-major2-losers3-match-2,86,116.0,Los Angeles Thieves,110.0,New York Subliners,Major 2,4/9/21,3,0,Los Angeles Thieves,https://youtu.be/SYc_CP1HDQM?t=1
cw-major2-losers4-match-1,87,116.0,Los Angeles Thieves,112.0,Toronto Ultra,Major 2,4/10/21,0,3,Toronto Ultra,https://youtu.be/XLnXnwkNOqw?t=1
cw-major2-losers4-match-2,88,117.0,OpTic Chicago,109.0,Minnesota RØKKR,Major 2,4/10/21,2,3,Minnesota RØKKR,https://youtu.be/nfS5K_8h_A0?t=1
cw-major2-winnersfinals-match-1,89,105.0,Dallas Empire,115.0,Atlanta FaZe,Major 2,4/10/21,1,3,Atlanta FaZe,https://youtu.be/QlR7BOWU794?t=1
cw-major2-losers5-match-1,90,112.0,Toronto Ultra,109.0,Minnesota RØKKR,Major 2,4/11/21,3,1,Toronto Ultra,https://youtu.be/W53hrbNGa5I?t=1
cw-major2-losersfinals-match-1,91,112.0,Toronto Ultra,105.0,Dallas Empire,Major 2,4/11/21,3,1,Toronto Ultra,https://youtu.be/pT5DI5i1whY?t=1
cw-major2-grandfinals-match-1,92,112.0,Toronto Ultra,115.0,Atlanta FaZe,Major 2,4/11/21,5,3,Toronto Ultra,https://youtu.be/BfPCQ7CssLg?t=1
cw-s3w1-groupplay-match-1,93,113.0,Paris Legion,105.0,Dallas Empire,Stage 3 Week 1,4/22/21,1,3,Dallas Empire,https://youtu.be/96ZEG-cvQ-I?t=1
cw-s3w1-groupplay-match-2,94,107.0,Florida Mutineers,112.0,Toronto Ultra,Stage 3 Week 1,4/22/21,0,3,Toronto Ultra,https://youtu.be/IdglUNIORbE?t=1
cw-s3w1-groupplay-match-3,95,106.0,Seattle Surge,116.0,Los Angeles Thieves,Stage 3 Week 1,4/23/21,2,3,Los Angeles Thieves,https://youtu.be/k0ex59KY8TA?t=1
cw-s3w1-groupplay-match-4,96,111.0,London Royal Ravens,117.0,OpTic Chicago,Stage 3 Week 1,4/23/21,1,3,OpTic Chicago,https://youtu.be/hw237E96qB4?t=1
cw-s3w1-groupplay-match-5,97,108.0,Los Angeles Guerrillas,113.0,Paris Legion,Stage 3 Week 1,4/24/21,3,0,Los Angeles Guerrillas,https://youtu.be/x2VqZNP7o7s?t=1
cw-s3w1-groupplay-match-6,98,107.0,Florida Mutineers,109.0,Minnesota RØKKR,Stage 3 Week 1,4/24/21,3,1,Florida Mutineers,https://youtu.be/EQLC63BDRQg?t=1
cw-s3w1-groupplay-match-7,99,106.0,Seattle Surge,117.0,OpTic Chicago,Stage 3 Week 1,4/24/21,0,3,OpTic Chicago,https://youtu.be/RbdY0TZlo4A?t=1
cw-s3w1-groupplay-match-8,100,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Stage 3 Week 1,4/25/21,1,3,Los Angeles Thieves,https://youtu.be/89FdhuAIg1o?t=1
cw-s3w1-groupplay-match-9,101,110.0,New York Subliners,115.0,Atlanta FaZe,Stage 3 Week 1,4/25/21,3,2,New York Subliners,https://youtu.be/hUT0jixYEuE?t=1
cw-s3w1-groupplay-match-10,102,105.0,Dallas Empire,112.0,Toronto Ultra,Stage 3 Week 1,4/25/21,0,3,Toronto Ultra,https://youtu.be/9Rqgcu_PNac?t=1
cw-s3w2-groupplay-match-1,103,111.0,London Royal Ravens,110.0,New York Subliners,Stage 3 Week 2,4/29/21,3,2,London Royal Ravens,https://youtu.be/VkKRfx4npPg?t=1
cw-s3w2-groupplay-match-2,104,116.0,Los Angeles Thieves,115.0,Atlanta FaZe,Stage 3 Week 2,4/29/21,2,3,Atlanta FaZe,https://youtu.be/0pSJFl2BJpU?t=1
cw-s3w2-groupplay-match-3,105,108.0,Los Angeles Guerrillas,112.0,Toronto Ultra,Stage 3 Week 2,4/30/21,0,3,Toronto Ultra,https://youtu.be/4VXh7Tcj88Y?t=1
cw-s3w2-groupplay-match-4,106,113.0,Paris Legion,109.0,Minnesota RØKKR,Stage 3 Week 2,4/30/21,1,3,Minnesota RØKKR,https://youtu.be/t4-UUohdF00?t=1
cw-s3w2-groupplay-match-5,107,111.0,London Royal Ravens,115.0,Atlanta FaZe,Stage 3 Week 2,5/1/21,2,3,Atlanta FaZe,https://youtu.be/SB0iIFUgUJM?t=1
cw-s3w2-groupplay-match-6,108,108.0,Los Angeles Guerrillas,105.0,Dallas Empire,Stage 3 Week 2,5/1/21,2,3,Dallas Empire,https://youtu.be/6IPp5HwWMLM?t=1
cw-s3w2-groupplay-match-7,109,106.0,Seattle Surge,110.0,New York Subliners,Stage 3 Week 2,5/1/21,0,3,New York Subliners,https://youtu.be/LvPS9urrQrE?t=1
cw-s3w2-groupplay-match-8,110,113.0,Paris Legion,107.0,Florida Mutineers,Stage 3 Week 2,5/2/21,3,1,Paris Legion,https://youtu.be/wV17c5Q_ibs?t=1
cw-s3w2-groupplay-match-9,111,109.0,Minnesota RØKKR,112.0,Toronto Ultra,Stage 3 Week 2,5/2/21,1,3,Toronto Ultra,https://youtu.be/wlrXdrrHhNQ?t=1
cw-s3w2-groupplay-match-10,112,116.0,Los Angeles Thieves,117.0,OpTic Chicago,Stage 3 Week 2,5/2/21,3,1,Los Angeles Thieves,https://youtu.be/MA_JZgcYA3c?t=1
cw-s3w3-groupplay-match-1,113,108.0,Los Angeles Guerrillas,109.0,Minnesota RØKKR,Stage 3 Week 3,5/6/21,2,3,Minnesota RØKKR,https://youtu.be/utWS2f1Gp5E?t=1
cw-s3w3-groupplay-match-2,114,110.0,New York Subliners,117.0,OpTic Chicago,Stage 3 Week 3,5/6/21,3,1,New York Subliners,https://youtu.be/PR1WIJSMfIg?t=1
cw-s3w3-groupplay-match-3,115,106.0,Seattle Surge,115.0,Atlanta FaZe,Stage 3 Week 3,5/7/21,1,3,Atlanta FaZe,https://youtu.be/gkiE8s_8avE?t=1
cw-s3w3-groupplay-match-4,116,107.0,Florida Mutineers,105.0,Dallas Empire,Stage 3 Week 3,5/7/21,3,0,Florida Mutineers,https://youtu.be/ESGEASQVSqM?t=1
cw-s3w3-groupplay-match-5,117,113.0,Paris Legion,112.0,Toronto Ultra,Stage 3 Week 3,5/8/21,0,3,Toronto Ultra,https://youtu.be/XB1DNQS0LgU?t=1
cw-s3w3-groupplay-match-6,118,110.0,New York Subliners,116.0,Los Angeles Thieves,Stage 3 Week 3,5/8/21,3,1,New York Subliners,https://youtu.be/3OeVrb-ILVM?t=1
cw-s3w3-groupplay-match-7,119,108.0,Los Angeles Guerrillas,107.0,Florida Mutineers,Stage 3 Week 3,5/8/21,2,3,Florida Mutineers,https://youtu.be/3XfVXb5xs3I?t=1
cw-s3w3-groupplay-match-8,120,111.0,London Royal Ravens,106.0,Seattle Surge,Stage 3 Week 3,5/9/21,3,1,London Royal Ravens,https://youtu.be/UpTGnrobNZo?t=1
